h3_index,population,count_amenity_education,count_amenity_healthcare,count_amenity_shopping_food,count_amenity_leisure_recreation,count_amenity_workplaces,count_amenity_public_services,has_station,city,station_probability,station_rank,percentile_rank
891f18b21a3ffff,732.0265,1,0,12,0,0,0,0,berlin,0.03743071555161719,3980.0,85.89002729818839
89195d364a3ffff,940.1765,0,0,0,0,0,0,0,london,0.037307169060786835,3981.0,85.88648207891659
89194adb68fffff,941.85724,0,0,0,0,0,0,0,london,0.037307169060786835,3981.0,85.88648207891659
891f1886b63ffff,550.58154,0,0,0,0,0,0,0,berlin,0.03722934013043953,3983.0,85.87939164037296
89195da5d6fffff,1984.9973,0,0,5,0,0,0,0,london,0.037171448441243864,3984.0,85.87584642110114
89194e69e97ffff,1985.1992,0,0,5,0,0,0,0,london,0.037171448441243864,3984.0,85.87584642110114
89194ad118bffff,1988.4934,0,0,5,0,0,0,0,london,0.037171448441243864,3984.0,85.87584642110114
89194ac3127ffff,966.67664,0,0,0,0,0,0,0,london,0.03709648950939817,3987.0,85.86521076328572
89194e6d217ffff,2366.791,0,0,0,0,0,0,0,london,0.03693664631094753,3988.0,85.8616655440139
89194ad142fffff,2366.7493,0,0,0,0,0,0,0,london,0.03693664631094753,3988.0,85.8616655440139
89194e69937ffff,1622.0457,0,0,2,0,0,1,0,london,0.03686314121608239,3990.0,85.85457510547027
891f1d4f0abffff,724.4235,0,0,1,0,0,0,0,berlin,0.03683779314461299,3991.0,85.85102988619846
89194adae8bffff,1147.0938,0,0,4,0,0,0,0,london,0.036802603047790775,3992.0,85.84748466692665
89194e682dbffff,1160.8538,0,0,4,0,0,0,0,london,0.036802603047790775,3992.0,85.84748466692665
89195da6503ffff,1151.8136,0,0,4,0,0,0,0,london,0.036802603047790775,3992.0,85.84748466692665
89195da6a13ffff,1139.5299,0,0,4,0,0,0,0,london,0.036802603047790775,3992.0,85.84748466692665
89194ada903ffff,959.93115,0,0,0,0,0,0,0,london,0.036685530605288584,3996.0,85.8333037898394
89194ad8827ffff,959.9286,0,0,0,0,0,0,0,london,0.036685530605288584,3996.0,85.8333037898394
891f18b76b3ffff,571.01117,0,0,2,1,0,0,0,berlin,0.03664138509465612,3998.0,85.82621335129578
89194ad343bffff,2669.998,0,0,4,2,0,0,0,london,0.03663140495867769,3999.0,85.82266813202396
891f1d49b4fffff,776.62134,0,0,5,0,0,0,0,berlin,0.036582574195858045,4000.0,85.81912291275215
891f18b0497ffff,670.8126,0,0,1,0,0,0,0,berlin,0.036564784841463756,4001.0,85.81557769348034
891f1d4b28fffff,670.7623,0,0,1,0,0,0,0,berlin,0.036564784841463756,4001.0,85.81557769348034
